index	label	file_path
0	0	./AudioMNIST/data/26/0_26_46.wav
1	0	./AudioMNIST/data/29/0_29_45.wav
2	6	./AudioMNIST/data/57/6_57_5.wav
3	5	./AudioMNIST/data/07/5_07_8.wav
4	8	./AudioMNIST/data/60/8_60_1.wav
5	7	./AudioMNIST/data/59/7_59_1.wav
6	2	./AudioMNIST/data/31/2_31_39.wav
7	1	./AudioMNIST/data/37/1_37_24.wav
8	5	./AudioMNIST/data/14/5_14_10.wav
9	9	./AudioMNIST/data/05/9_05_5.wav
10	6	./AudioMNIST/data/10/6_10_30.wav
11	2	./AudioMNIST/data/24/2_24_16.wav
12	5	./AudioMNIST/data/45/5_45_8.wav
13	1	./AudioMNIST/data/35/1_35_14.wav
14	7	./AudioMNIST/data/05/7_05_28.wav
15	1	./AudioMNIST/data/33/1_33_22.wav
16	5	./AudioMNIST/data/58/5_58_23.wav
17	8	./AudioMNIST/data/55/8_55_30.wav
18	0	./AudioMNIST/data/60/0_60_45.wav
19	6	./AudioMNIST/data/22/6_22_30.wav
20	6	./AudioMNIST/data/40/6_40_23.wav
21	9	./AudioMNIST/data/34/9_34_48.wav
22	4	./AudioMNIST/data/20/4_20_41.wav
23	6	./AudioMNIST/data/16/6_16_10.wav
24	5	./AudioMNIST/data/32/5_32_12.wav
25	1	./AudioMNIST/data/43/1_43_7.wav
26	1	./AudioMNIST/data/08/1_08_10.wav
27	1	./AudioMNIST/data/31/1_31_6.wav
28	3	./AudioMNIST/data/30/3_30_29.wav
29	8	./AudioMNIST/data/19/8_19_15.wav
30	7	./AudioMNIST/data/17/7_17_16.wav
31	5	./AudioMNIST/data/13/5_13_47.wav
32	9	./AudioMNIST/data/39/9_39_14.wav
33	8	./AudioMNIST/data/22/8_22_46.wav
34	3	./AudioMNIST/data/33/3_33_1.wav
35	3	./AudioMNIST/data/39/3_39_46.wav
36	4	./AudioMNIST/data/58/4_58_41.wav
37	0	./AudioMNIST/data/12/0_12_17.wav
38	8	./AudioMNIST/data/51/8_51_13.wav
39	9	./AudioMNIST/data/50/9_50_35.wav
40	5	./AudioMNIST/data/01/5_01_38.wav
41	3	./AudioMNIST/data/21/3_21_9.wav
42	5	./AudioMNIST/data/20/5_20_35.wav
43	0	./AudioMNIST/data/15/0_15_25.wav
44	4	./AudioMNIST/data/40/4_40_18.wav
45	9	./AudioMNIST/data/47/9_47_3.wav
46	9	./AudioMNIST/data/39/9_39_32.wav
47	7	./AudioMNIST/data/20/7_20_19.wav
48	2	./AudioMNIST/data/32/2_32_35.wav
49	7	./AudioMNIST/data/48/7_48_31.wav
50	8	./AudioMNIST/data/48/8_48_29.wav
51	2	./AudioMNIST/data/10/2_10_17.wav
52	9	./AudioMNIST/data/08/9_08_10.wav
53	6	./AudioMNIST/data/03/6_03_36.wav
54	3	./AudioMNIST/data/15/3_15_15.wav
55	0	./AudioMNIST/data/34/0_34_19.wav
56	2	./AudioMNIST/data/48/2_48_21.wav
57	8	./AudioMNIST/data/47/8_47_29.wav
